"id_peserta","nama","nama_ayah","nama_ibu","nama_wali","id_pendidikan_ayah","nama_pendidikan_ayah","id_pendidikan_ibu","nama_pendidikan_ibu","id_pendidikan_wali","nama_pendidikan_wali","nama_penghasilan_ayah","id_penghasilan_ayah","nama_penghasilan_ibu","id_penghasilan_ibu","nama_penghasilan_wali","id_penghasilan_wali"
15,Ezekiel Benfield,Solly,Danna,,3,Sekolah Menengah Atas,3,Sekolah Menengah Atas,,,"10 Juta - 20 Juta",4,"1 Juta - 5 Juta",2,,
16,Randell Matyushonok,Brantley,Margarete,,2,Sekolah Menengah Pertama,6,Magister,,,"5 Juta - 10 Juta",3,"20 Juta - 50 Juta",5,,
17,Rogerio Kmicicki,Edd,Maren,,6,Magister,6,Magister,,,"1 Juta - 5 Juta",2,"10 Juta - 20 Juta",4,,
18,Curry Nisco,Slade,Daniele,,3,Sekolah Menengah Atas,1,Sekolah Dasar,,,"0 - 1 Juta",1,"500 Juta - 1 Miliar",8,,
19,Davida Whetland,Albrecht,Florette,,3,Sekolah Menengah Atas,4,Diploma,,,"100 Juta - 500 Juta",7,"0 - 1 Juta",1,,
20,Demetrius Firth,Gardie,Bidget,,5,Sarjana,6,Magister,,,"1 Juta - 5 Juta",2,"500 Juta - 1 Miliar",8,,
21,Em MacIlurick,Jarrid,Nancey,,1,Sekolah Dasar,3,Sekolah Menengah Atas,,,"10 Juta - 20 Juta",4,"5 Juta - 10 Juta",3,,
22,Ursula Di Matteo,Arron,Bebe,,4,Diploma,2,Sekolah Menengah Pertama,,,"50 Juta - 100 Juta",6,"1 Juta - 5 Juta",2,,
23,Arlinda Beckers,Barrie,Adriaens,,1,Sekolah Dasar,1,Sekolah Dasar,,,"0 - 1 Juta",1,"0 - 1 Juta",1,,
24,Kendell Wickwarth,Obadiah,Fidelia,,1,Sekolah Dasar,5,Sarjana,,,"10 Juta - 20 Juta",4,"5 Juta - 10 Juta",3,,
25,Vilhelmina Fagence,Gunther,Rebecca,,4,Diploma,7,Doktoral,,,"100 Juta - 500 Juta",7,"500 Juta - 1 Miliar",8,,
26,Ivory Daniells,Reid,Deerdre,,3,Sekolah Menengah Atas,7,Doktoral,,,"10 Juta - 20 Juta",4,"1 Juta - 5 Juta",2,,
27,Benedetto Kilbey,Brewer,Maritsa,,1,Sekolah Dasar,1,Sekolah Dasar,,,"10 Juta - 20 Juta",4,"0 - 1 Juta",1,,
28,Verge Pitkeathley,Donal,Bethanne,,4,Diploma,5,Sarjana,,,"10 Juta - 20 Juta",4,"10 Juta - 20 Juta",4,,
29,Quincy Jehaes,Robinet,Violet,,4,Diploma,5,Sarjana,,,"50 Juta - 100 Juta",6,"10 Juta - 20 Juta",4,,
30,Forest Simioli,Morey,Jeniffer,,1,Sekolah Dasar,7,Doktoral,,,"10 Juta - 20 Juta",4,"1 Juta - 5 Juta",2,,
31,Chelsy Gaythwaite,Pasquale,Auroora,,2,Sekolah Menengah Pertama,5,Sarjana,,,"500 Juta - 1 Miliar",8,"100 Juta - 500 Juta",7,,
32,Joana Siberry,Arte,Penelope,,3,Sekolah Menengah Atas,2,Sekolah Menengah Pertama,,,"10 Juta - 20 Juta",4,"0 - 1 Juta",1,,
33,Ellerey Cleife,Ole,Bambie,,4,Diploma,7,Doktoral,,,"20 Juta - 50 Juta",5,"500 Juta - 1 Miliar",8,,
34,Kasey Frick,Terry,Wendeline,,1,Sekolah Dasar,1,Sekolah Dasar,,,"500 Juta - 1 Miliar",8,"5 Juta - 10 Juta",3,,
35,Kaye Oldfield-Cherry,Brent,Phillida,,3,Sekolah Menengah Atas,2,Sekolah Menengah Pertama,,,"500 Juta - 1 Miliar",8,"1 Juta - 5 Juta",2,,
36,Susi Steventon,Umberto,Emmi,,5,Sarjana,7,Doktoral,,,"500 Juta - 1 Miliar",8,"100 Juta - 500 Juta",7,,
37,Veriee Ginnelly,Yule,Delphine,,6,Magister,4,Diploma,,,"100 Juta - 500 Juta",7,"10 Juta - 20 Juta",4,,
38,Millisent Eagger,Gustave,Eadie,,4,Diploma,1,Sekolah Dasar,,,"0 - 1 Juta",1,"0 - 1 Juta",1,,
39,Robin Mattheus,Gabriele,Georgine,,4,Diploma,5,Sarjana,,,"0 - 1 Juta",1,"500 Juta - 1 Miliar",8,,
40,Hallie Lintott,Casper,Sarene,,2,Sekolah Menengah Pertama,7,Doktoral,,,"5 Juta - 10 Juta",3,"20 Juta - 50 Juta",5,,
41,Nikita Blethin,Lorens,Ranee,,6,Magister,6,Magister,,,"5 Juta - 10 Juta",3,"20 Juta - 50 Juta",5,,
42,Herculie Eric,Josiah,Modesta,,7,Doktoral,4,Diploma,,,"0 - 1 Juta",1,"10 Juta - 20 Juta",4,,
43,Helyn Whitrod,Orazio,Melania,,3,Sekolah Menengah Atas,3,Sekolah Menengah Atas,,,"20 Juta - 50 Juta",5,"1 Juta - 5 Juta",2,,
44,Bob Trenam,Nickolai,Kristen,,6,Magister,6,Magister,,,"10 Juta - 20 Juta",4,"1 Juta - 5 Juta",2,,
45,Ricard Founds,Ambrosi,Karon,,5,Sarjana,6,Magister,,,"1 Juta - 5 Juta",2,"50 Juta - 100 Juta",6,,
46,Lil Nellen,Hanson,Ira,,4,Diploma,4,Diploma,,,"10 Juta - 20 Juta",4,"10 Juta - 20 Juta",4,,
47,Faye Brodhead,Godfry,Dani,,3,Sekolah Menengah Atas,2,Sekolah Menengah Pertama,,,"20 Juta - 50 Juta",5,"20 Juta - 50 Juta",5,,
48,Jeniffer Livard,Rainer,Daryl,,7,Doktoral,3,Sekolah Menengah Atas,,,"500 Juta - 1 Miliar",8,"1 Juta - 5 Juta",2,,
49,Korry Wilkerson,Hartwell,Florrie,,7,Doktoral,3,Sekolah Menengah Atas,,,"10 Juta - 20 Juta",4,"10 Juta - 20 Juta",4,,
50,Salim Izchaki,Roderich,Aurea,,2,Sekolah Menengah Pertama,7,Doktoral,,,"1 Juta - 5 Juta",2,"10 Juta - 20 Juta",4,,
51,Harley Leirmonth,Teodorico,Rubetta,,2,Sekolah Menengah Pertama,4,Diploma,,,"100 Juta - 500 Juta",7,"100 Juta - 500 Juta",7,,
52,Winston Mitchiner,Stanislas,Courtney,,6,Magister,4,Diploma,,,"500 Juta - 1 Miliar",8,"50 Juta - 100 Juta",6,,
53,Heywood Scobie,Algernon,Cassaundra,,7,Doktoral,2,Sekolah Menengah Pertama,,,"20 Juta - 50 Juta",5,"0 - 1 Juta",1,,
54,Vergil McQuillan,Ashbey,Amara,,6,Magister,5,Sarjana,,,"0 - 1 Juta",1,"20 Juta - 50 Juta",5,,
55,Buffy Spiby,Haskel,Christabel,,3,Sekolah Menengah Atas,7,Doktoral,,,"0 - 1 Juta",1,"20 Juta - 50 Juta",5,,
56,Hershel Corbet,Cornelius,Ilise,,6,Magister,1,Sekolah Dasar,,,"0 - 1 Juta",1,"500 Juta - 1 Miliar",8,,
57,Price Full,Carny,Cindee,,7,Doktoral,1,Sekolah Dasar,,,"1 Juta - 5 Juta",2,"1 Juta - 5 Juta",2,,
58,Page Ivanchov,Howey,Cristy,,6,Magister,2,Sekolah Menengah Pertama,,,"1 Juta - 5 Juta",2,"20 Juta - 50 Juta",5,,
59,Jourdan Boots,Buck,Alida,,6,Magister,6,Magister,,,"5 Juta - 10 Juta",3,"10 Juta - 20 Juta",4,,
60,Claudina Stainland,Demetrius,Nissie,,1,Sekolah Dasar,4,Diploma,,,"100 Juta - 500 Juta",7,"0 - 1 Juta",1,,
61,Helyn Lebrun,Jeromy,Maegan,,2,Sekolah Menengah Pertama,4,Diploma,,,"1 Juta - 5 Juta",2,"1 Juta - 5 Juta",2,,
62,Jacob Proffitt,Andie,Beulah,,7,Doktoral,6,Magister,,,"0 - 1 Juta",1,"10 Juta - 20 Juta",4,,
63,Bobinette Raigatt,Maddie,Timmy,,2,Sekolah Menengah Pertama,2,Sekolah Menengah Pertama,,,"500 Juta - 1 Miliar",8,"100 Juta - 500 Juta",7,,
64,Gregoire Pepin,Georas,Sarita,,1,Sekolah Dasar,6,Magister,,,"10 Juta - 20 Juta",4,"5 Juta - 10 Juta",3,,
65,Almira Brealey,Herc,Tarah,,7,Doktoral,4,Diploma,,,"20 Juta - 50 Juta",5,"20 Juta - 50 Juta",5,,
66,Jamison Roderigo,Felice,Claretta,,3,Sekolah Menengah Atas,7,Doktoral,,,"50 Juta - 100 Juta",6,"100 Juta - 500 Juta",7,,
67,Thornton Skull,Cecilio,Shayne,,3,Sekolah Menengah Atas,3,Sekolah Menengah Atas,,,"0 - 1 Juta",1,"20 Juta - 50 Juta",5,,
68,Hyacinth Snozzwell,Hunfredo,Maye,,3,Sekolah Menengah Atas,2,Sekolah Menengah Pertama,,,"1 Juta - 5 Juta",2,"1 Juta - 5 Juta",2,,
69,Carter Simonian,Dalli,Birdie,,6,Magister,6,Magister,,,"0 - 1 Juta",1,"0 - 1 Juta",1,,
70,Reid Bredee,Griz,Neely,,1,Sekolah Dasar,3,Sekolah Menengah Atas,,,"50 Juta - 100 Juta",6,"50 Juta - 100 Juta",6,,
71,Angy Soughton,Stavro,Giuditta,,3,Sekolah Menengah Atas,4,Diploma,,,"20 Juta - 50 Juta",5,"10 Juta - 20 Juta",4,,
72,Mora Ponten,Glenden,Luelle,,3,Sekolah Menengah Atas,1,Sekolah Dasar,,,"500 Juta - 1 Miliar",8,"20 Juta - 50 Juta",5,,
73,Lelia Koeppe,Patton,Darryl,,6,Magister,1,Sekolah Dasar,,,"0 - 1 Juta",1,"500 Juta - 1 Miliar",8,,
74,Davy Pochet,Hunt,Annabelle,,5,Sarjana,4,Diploma,,,"20 Juta - 50 Juta",5,"50 Juta - 100 Juta",6,,
75,Pasquale Pavyer,Yves,Millie,,4,Diploma,5,Sarjana,,,"5 Juta - 10 Juta",3,"1 Juta - 5 Juta",2,,
76,Hansiain Dobbings,Freeland,Ajay,,7,Doktoral,6,Magister,,,"20 Juta - 50 Juta",5,"50 Juta - 100 Juta",6,,
77,Colette Ladds,Ivan,Rina,,5,Sarjana,1,Sekolah Dasar,,,"20 Juta - 50 Juta",5,"500 Juta - 1 Miliar",8,,
78,Ray Alvy,Baxie,Doretta,,2,Sekolah Menengah Pertama,5,Sarjana,,,"10 Juta - 20 Juta",4,"500 Juta - 1 Miliar",8,,
79,Barnie Feragh,Steffen,Margarita,,6,Magister,1,Sekolah Dasar,,,"50 Juta - 100 Juta",6,"50 Juta - 100 Juta",6,,
80,Nicola Orans,Dame,Fidela,,5,Sarjana,7,Doktoral,,,"5 Juta - 10 Juta",3,"500 Juta - 1 Miliar",8,,
81,Gipsy Batthew,Humfrid,Tine,,1,Sekolah Dasar,1,Sekolah Dasar,,,"5 Juta - 10 Juta",3,"0 - 1 Juta",1,,
82,Kaycee Thurstan,Meir,Phyllida,,1,Sekolah Dasar,4,Diploma,,,"10 Juta - 20 Juta",4,"20 Juta - 50 Juta",5,,
83,Prescott Woffinden,Glendon,Annamarie,,3,Sekolah Menengah Atas,7,Doktoral,,,"50 Juta - 100 Juta",6,"0 - 1 Juta",1,,
84,Rachele Kasting,Munroe,Myrle,,5,Sarjana,7,Doktoral,,,"10 Juta - 20 Juta",4,"0 - 1 Juta",1,,
85,Federica Doughartie,Burnaby,Corny,,1,Sekolah Dasar,7,Doktoral,,,"1 Juta - 5 Juta",2,"5 Juta - 10 Juta",3,,
86,Francis Boness,Crawford,Lorena,,6,Magister,2,Sekolah Menengah Pertama,,,"1 Juta - 5 Juta",2,"5 Juta - 10 Juta",3,,
87,Tasha Balk,Lin,Krysta,,5,Sarjana,4,Diploma,,,"100 Juta - 500 Juta",7,"0 - 1 Juta",1,,
88,Rance Farryann,Bram,Hester,,1,Sekolah Dasar,2,Sekolah Menengah Pertama,,,"20 Juta - 50 Juta",5,"20 Juta - 50 Juta",5,,
89,Emyle Cholerton,Weylin,Kaylil,,6,Magister,4,Diploma,,,"5 Juta - 10 Juta",3,"0 - 1 Juta",1,,
90,Kylen Kegg,Marlow,Shalne,,4,Diploma,7,Doktoral,,,"50 Juta - 100 Juta",6,"0 - 1 Juta",1,,
91,Brenda Bonick,Nikolas,Melisa,,6,Magister,4,Diploma,,,"50 Juta - 100 Juta",6,"50 Juta - 100 Juta",6,,
92,Alleen Halvosen,Hall,Mariska,,2,Sekolah Menengah Pertama,4,Diploma,,,"5 Juta - 10 Juta",3,"0 - 1 Juta",1,,
93,Harlen Notton,Granny,Audrie,,4,Diploma,2,Sekolah Menengah Pertama,,,"1 Juta - 5 Juta",2,"100 Juta - 500 Juta",7,,
94,Felicia Nudds,Waylon,Elisha,,7,Doktoral,2,Sekolah Menengah Pertama,,,"10 Juta - 20 Juta",4,"50 Juta - 100 Juta",6,,
95,Rosamond Crooks,Ezechiel,Liliane,,6,Magister,3,Sekolah Menengah Atas,,,"10 Juta - 20 Juta",4,"5 Juta - 10 Juta",3,,
96,Lowell Wyer,Bren,Alisa,,6,Magister,7,Doktoral,,,"50 Juta - 100 Juta",6,"5 Juta - 10 Juta",3,,
97,Pennie Garlette,Lev,Neda,,4,Diploma,4,Diploma,,,"0 - 1 Juta",1,"20 Juta - 50 Juta",5,,
98,Linn Moyer,Armin,Tamqrah,,1,Sekolah Dasar,5,Sarjana,,,"100 Juta - 500 Juta",7,"0 - 1 Juta",1,,
99,Fianna Hukin,Jedidiah,Albina,,3,Sekolah Menengah Atas,7,Doktoral,,,"100 Juta - 500 Juta",7,"1 Juta - 5 Juta",2,,
100,Babb Testin,Elmer,Xenia,,4,Diploma,2,Sekolah Menengah Pertama,,,"5 Juta - 10 Juta",3,"500 Juta - 1 Miliar",8,,
101,Sam Everall,Shep,Blinni,,7,Doktoral,3,Sekolah Menengah Atas,,,"20 Juta - 50 Juta",5,"0 - 1 Juta",1,,
102,Philipa Clara,Gallard,Alisa,,3,Sekolah Menengah Atas,6,Magister,,,"50 Juta - 100 Juta",6,"500 Juta - 1 Miliar",8,,
103,Orelle Langland,Thaine,Arleen,,4,Diploma,6,Magister,,,"50 Juta - 100 Juta",6,"1 Juta - 5 Juta",2,,
104,Sibylla Berard,Ozzie,Marya,,7,Doktoral,4,Diploma,,,"50 Juta - 100 Juta",6,"20 Juta - 50 Juta",5,,
105,Nicoli Byram,Torre,Corny,,2,Sekolah Menengah Pertama,1,Sekolah Dasar,,,"0 - 1 Juta",1,"1 Juta - 5 Juta",2,,
106,Willette Gianolo,Hasty,Kirsteni,,4,Diploma,2,Sekolah Menengah Pertama,,,"5 Juta - 10 Juta",3,"50 Juta - 100 Juta",6,,
107,Ade Pentlow,Roderick,Kissie,,3,Sekolah Menengah Atas,4,Diploma,,,"0 - 1 Juta",1,"5 Juta - 10 Juta",3,,
108,Sylvia Mouland,Elias,Linell,,6,Magister,4,Diploma,,,"0 - 1 Juta",1,"0 - 1 Juta",1,,
109,Brandice McConachie,Ellerey,Amata,,4,Diploma,6,Magister,,,"5 Juta - 10 Juta",3,"5 Juta - 10 Juta",3,,
110,Nikolai Youthead,Neale,Nathalia,,1,Sekolah Dasar,3,Sekolah Menengah Atas,,,"0 - 1 Juta",1,"0 - 1 Juta",1,,
111,Giovanni Baldry,Kain,Tammie,,1,Sekolah Dasar,2,Sekolah Menengah Pertama,,,"1 Juta - 5 Juta",2,"50 Juta - 100 Juta",6,,
112,Kennett Fealey,Sayres,Alissa,,2,Sekolah Menengah Pertama,5,Sarjana,,,"500 Juta - 1 Miliar",8,"50 Juta - 100 Juta",6,,
113,Lloyd Deares,Far,Gerrilee,,7,Doktoral,1,Sekolah Dasar,,,"0 - 1 Juta",1,"20 Juta - 50 Juta",5,,
114,Edd Szymanski,Augustine,Dody,,7,Doktoral,7,Doktoral,,,"0 - 1 Juta",1,"1 Juta - 5 Juta",2,,
115,Mal Dugan,Odell,Caril,,4,Diploma,3,Sekolah Menengah Atas,,,"20 Juta - 50 Juta",5,"20 Juta - 50 Juta",5,,
116,Abe McQuade,Ward,Ciel,,6,Magister,6,Magister,,,"20 Juta - 50 Juta",5,"500 Juta - 1 Miliar",8,,
117,Dana Pettifor,Millard,Kristine,,6,Magister,3,Sekolah Menengah Atas,,,"0 - 1 Juta",1,"100 Juta - 500 Juta",7,,
118,Maria Sher,Othello,Jodi,,3,Sekolah Menengah Atas,3,Sekolah Menengah Atas,,,"5 Juta - 10 Juta",3,"20 Juta - 50 Juta",5,,
119,Niels Sausman,Braden,Anna-diana,,6,Magister,1,Sekolah Dasar,,,"500 Juta - 1 Miliar",8,"50 Juta - 100 Juta",6,,
120,Eugenius Errichi,Stafford,Trix,,3,Sekolah Menengah Atas,7,Doktoral,,,"0 - 1 Juta",1,"10 Juta - 20 Juta",4,,
121,Ainslie Livard,Hillery,Ricky,,6,Magister,7,Doktoral,,,"500 Juta - 1 Miliar",8,"10 Juta - 20 Juta",4,,
122,Sybilla Ferschke,Irv,Ursuline,,5,Sarjana,4,Diploma,,,"50 Juta - 100 Juta",6,"10 Juta - 20 Juta",4,,
123,Nanon Oakwood,Jard,Alysia,,2,Sekolah Menengah Pertama,7,Doktoral,,,"0 - 1 Juta",1,"500 Juta - 1 Miliar",8,,
124,Gil Jacobi,August,Drusie,,2,Sekolah Menengah Pertama,5,Sarjana,,,"500 Juta - 1 Miliar",8,"5 Juta - 10 Juta",3,,
125,Ronica Dimberline,Tonnie,Alys,,7,Doktoral,4,Diploma,,,"500 Juta - 1 Miliar",8,"20 Juta - 50 Juta",5,,
126,Gerta Kellegher,Royce,Patti,,6,Magister,1,Sekolah Dasar,,,"5 Juta - 10 Juta",3,"500 Juta - 1 Miliar",8,,
127,Grace Hallstone,Aaron,Arliene,,6,Magister,7,Doktoral,,,"5 Juta - 10 Juta",3,"500 Juta - 1 Miliar",8,,
128,Marlin Shearn,Raimund,Ardelle,,6,Magister,7,Doktoral,,,"50 Juta - 100 Juta",6,"500 Juta - 1 Miliar",8,,
129,Meggy Wreak,Adlai,Mair,,2,Sekolah Menengah Pertama,2,Sekolah Menengah Pertama,,,"0 - 1 Juta",1,"500 Juta - 1 Miliar",8,,
130,Jud Lemar,Leo,Madella,,5,Sarjana,6,Magister,,,"500 Juta - 1 Miliar",8,"10 Juta - 20 Juta",4,,
131,Geoffrey Ricket,Carlo,Cindra,,5,Sarjana,6,Magister,,,"50 Juta - 100 Juta",6,"1 Juta - 5 Juta",2,,
132,Christian Alcorn,Chas,Othilie,,6,Magister,7,Doktoral,,,"0 - 1 Juta",1,"0 - 1 Juta",1,,
133,Dedie Feavers,Christoffer,Onida,,3,Sekolah Menengah Atas,1,Sekolah Dasar,,,"0 - 1 Juta",1,"500 Juta - 1 Miliar",8,,
134,Belita Pohl,Lindsey,Ardath,,7,Doktoral,6,Magister,,,"5 Juta - 10 Juta",3,"500 Juta - 1 Miliar",8,,
135,Decca Varker,Torrence,Magdalene,,7,Doktoral,6,Magister,,,"20 Juta - 50 Juta",5,"10 Juta - 20 Juta",4,,
136,Ivy Calven,Emmett,Shirlee,,2,Sekolah Menengah Pertama,2,Sekolah Menengah Pertama,,,"0 - 1 Juta",1,"50 Juta - 100 Juta",6,,
137,Bennie Boam,Raymund,Mirelle,,5,Sarjana,3,Sekolah Menengah Atas,,,"500 Juta - 1 Miliar",8,"5 Juta - 10 Juta",3,,
138,Meta Whylie,Waring,Judith,,5,Sarjana,3,Sekolah Menengah Atas,,,"100 Juta - 500 Juta",7,"5 Juta - 10 Juta",3,,
139,Swen Batalle,Marcus,Benoite,,6,Magister,4,Diploma,,,"10 Juta - 20 Juta",4,"1 Juta - 5 Juta",2,,
140,Gene Kemwall,Abelard,Milicent,,2,Sekolah Menengah Pertama,1,Sekolah Dasar,,,"50 Juta - 100 Juta",6,"100 Juta - 500 Juta",7,,
141,Brenna Blinder,Leroi,Paulita,,4,Diploma,2,Sekolah Menengah Pertama,,,"10 Juta - 20 Juta",4,"0 - 1 Juta",1,,
142,Dacy Pauncefoot,Tadeas,Pen,,7,Doktoral,6,Magister,,,"20 Juta - 50 Juta",5,"5 Juta - 10 Juta",3,,
143,Reggy Summerill,Maximilian,Anne-marie,,4,Diploma,1,Sekolah Dasar,,,"0 - 1 Juta",1,"1 Juta - 5 Juta",2,,
144,Smitty Camier,Waiter,Beverley,,5,Sarjana,6,Magister,,,"1 Juta - 5 Juta",2,"1 Juta - 5 Juta",2,,
145,Giraldo Grimshaw,Ailbert,Sophi,,5,Sarjana,3,Sekolah Menengah Atas,,,"5 Juta - 10 Juta",3,"20 Juta - 50 Juta",5,,
146,Chlo Coey,Cleavland,Joannes,,4,Diploma,5,Sarjana,,,"50 Juta - 100 Juta",6,"10 Juta - 20 Juta",4,,
147,Brucie Conen,Brooks,Stephani,,1,Sekolah Dasar,2,Sekolah Menengah Pertama,,,"20 Juta - 50 Juta",5,"500 Juta - 1 Miliar",8,,
148,Renaud Philipeau,Dill,Etta,,2,Sekolah Menengah Pertama,4,Diploma,,,"10 Juta - 20 Juta",4,"20 Juta - 50 Juta",5,,
149,Adrienne Torre,Octavius,Kippie,,4,Diploma,4,Diploma,,,"20 Juta - 50 Juta",5,"50 Juta - 100 Juta",6,,
150,Giorgio Nuschke,Hughie,Idaline,,1,Sekolah Dasar,6,Magister,,,"500 Juta - 1 Miliar",8,"500 Juta - 1 Miliar",8,,
151,Cele Bear,Scott,Jammie,,4,Diploma,2,Sekolah Menengah Pertama,,,"10 Juta - 20 Juta",4,"50 Juta - 100 Juta",6,,
152,Alexa Caldecourt,Mitchael,Emera,,4,Diploma,2,Sekolah Menengah Pertama,,,"500 Juta - 1 Miliar",8,"5 Juta - 10 Juta",3,,
153,Arlena Walch,Foster,Lorilee,,5,Sarjana,2,Sekolah Menengah Pertama,,,"100 Juta - 500 Juta",7,"500 Juta - 1 Miliar",8,,
154,Hildagard Munns,Darren,Rasla,,5,Sarjana,4,Diploma,,,"0 - 1 Juta",1,"0 - 1 Juta",1,,
155,Matilde Babar,Sonnie,Celeste,,3,Sekolah Menengah Atas,1,Sekolah Dasar,,,"20 Juta - 50 Juta",5,"100 Juta - 500 Juta",7,,
156,Udell Stallebrass,Pip,Marcile,,7,Doktoral,3,Sekolah Menengah Atas,,,"50 Juta - 100 Juta",6,"500 Juta - 1 Miliar",8,,
157,Andre Fenner,Cal,Norean,,6,Magister,4,Diploma,,,"20 Juta - 50 Juta",5,"1 Juta - 5 Juta",2,,
158,Nonie Spat,Byron,Barrie,,2,Sekolah Menengah Pertama,1,Sekolah Dasar,,,"20 Juta - 50 Juta",5,"0 - 1 Juta",1,,
159,Drucill Drance,Frasquito,Beatrice,,1,Sekolah Dasar,2,Sekolah Menengah Pertama,,,"10 Juta - 20 Juta",4,"0 - 1 Juta",1,,
160,Karim Padrick,De witt,Tricia,,2,Sekolah Menengah Pertama,4,Diploma,,,"20 Juta - 50 Juta",5,"1 Juta - 5 Juta",2,,
161,Aarika Wilkenson,Cletis,Charlene,,7,Doktoral,3,Sekolah Menengah Atas,,,"20 Juta - 50 Juta",5,"100 Juta - 500 Juta",7,,
162,Nona Selcraig,Finlay,Dorothea,,5,Sarjana,5,Sarjana,,,"5 Juta - 10 Juta",3,"0 - 1 Juta",1,,
163,Bank Critcher,Lefty,Ilyse,,2,Sekolah Menengah Pertama,5,Sarjana,,,"100 Juta - 500 Juta",7,"1 Juta - 5 Juta",2,,
164,Kendra Knibley,Foss,Cristie,,3,Sekolah Menengah Atas,7,Doktoral,,,"500 Juta - 1 Miliar",8,"500 Juta - 1 Miliar",8,,
165,Milka Villa,Nobie,Katharine,,6,Magister,7,Doktoral,,,"0 - 1 Juta",1,"20 Juta - 50 Juta",5,,
166,Fitzgerald Ucceli,Briggs,Edwina,,7,Doktoral,3,Sekolah Menengah Atas,,,"100 Juta - 500 Juta",7,"0 - 1 Juta",1,,
167,Noemi Close,Dominick,Kynthia,,5,Sarjana,1,Sekolah Dasar,,,"10 Juta - 20 Juta",4,"10 Juta - 20 Juta",4,,
168,Linea Bucknill,Antonius,Lena,,1,Sekolah Dasar,7,Doktoral,,,"1 Juta - 5 Juta",2,"100 Juta - 500 Juta",7,,
169,Zarah Maruska,Maje,Sammy,,7,Doktoral,5,Sarjana,,,"1 Juta - 5 Juta",2,"0 - 1 Juta",1,,
170,Darbee Kincla,Giavani,Giorgia,,1,Sekolah Dasar,4,Diploma,,,"5 Juta - 10 Juta",3,"0 - 1 Juta",1,,
171,Cassondra Kerry,Bartlett,Leeann,,2,Sekolah Menengah Pertama,1,Sekolah Dasar,,,"500 Juta - 1 Miliar",8,"0 - 1 Juta",1,,
172,Katheryn ducarme,Jimmie,Jacki,,7,Doktoral,3,Sekolah Menengah Atas,,,"5 Juta - 10 Juta",3,"1 Juta - 5 Juta",2,,
173,Tadeo Ravens,Lauritz,Georgina,,2,Sekolah Menengah Pertama,1,Sekolah Dasar,,,"100 Juta - 500 Juta",7,"0 - 1 Juta",1,,
174,Guntar Tremelling,Joshia,Gwyn,,1,Sekolah Dasar,5,Sarjana,,,"5 Juta - 10 Juta",3,"500 Juta - 1 Miliar",8,,
175,Siffre Begg,Jefferson,Agathe,,5,Sarjana,4,Diploma,,,"500 Juta - 1 Miliar",8,"5 Juta - 10 Juta",3,,
